Name                                 Publisher                                               Version
-----------------------------------  ------------------------------------------------------  ----------------
AcronisBackup                        Acronis.Backup                                          1.0.33
AcronisBackup                        Acronis.Backup                                          1.0.51
AcronisBackupLinux                   Acronis.Backup                                          1.0.33
AlertLogicLM                         alertlogic                                              1.3.0.1
AlertLogicLM                         AlertLogic.Extension                                    1.3.0.0
AlertLogicLM                         AlertLogic.Extension                                    1.4.0.0
AlertLogicLM                         AlertLogic.Extension                                    1.9.0.0
AlertLogicLM                         AlertLogic.Extension                                    1.9.1.0
AgentWinExt                          bmc.ctm                                                 9.0.0.1
ChefClient                           Chef.Bootstrap.WindowsAzure                             11.18.6.2
ChefClient                           Chef.Bootstrap.WindowsAzure                             1207.12.3.0
ChefClient                           Chef.Bootstrap.WindowsAzure                             1210.12.109.1005
ChefClient                           Chef.Bootstrap.WindowsAzure                             1210.12.110.1000
ChefClient                           Chef.Bootstrap.WindowsAzure                             1210.12.110.1001
ChefClient                           Chef.Bootstrap.WindowsAzure                             1210.12.110.1002
ChefClient                           Chef.Bootstrap.WindowsAzure                             1210.13.1.0
ChefClient                           Chef.Bootstrap.WindowsAzure                             1210.13.1.1
ChefClient                           Chef.Bootstrap.WindowsAzure                             1210.13.2.1
ChefClient                           Chef.Bootstrap.WindowsAzure                             1210.13.2.2
ChefClient                           Chef.Bootstrap.WindowsAzure                             1210.13.2.3
ChefClient                           Chef.Bootstrap.WindowsAzure                             1210.13.3.1
ChefClient                           Chef.Bootstrap.WindowsAzure                             1210.13.3.2
ChefClient                           Chef.Bootstrap.WindowsAzure                             1210.13.3.3
ChefClient                           Chef.Bootstrap.WindowsAzure                             1210.13.4.1
LinuxChefClient                      Chef.Bootstrap.WindowsAzure                             11.18.6.2
LinuxChefClient                      Chef.Bootstrap.WindowsAzure                             1207.12.3.0
LinuxChefClient                      Chef.Bootstrap.WindowsAzure                             1210.12.110.1000
LinuxChefClient                      Chef.Bootstrap.WindowsAzure                             1210.12.110.1001
LinuxChefClient                      Chef.Bootstrap.WindowsAzure                             1210.12.110.1002
LinuxChefClient                      Chef.Bootstrap.WindowsAzure                             1210.13.1.0
LinuxChefClient                      Chef.Bootstrap.WindowsAzure                             1210.13.1.1
LinuxChefClient                      Chef.Bootstrap.WindowsAzure                             1210.13.2.1
LinuxChefClient                      Chef.Bootstrap.WindowsAzure                             1210.13.2.2
LinuxChefClient                      Chef.Bootstrap.WindowsAzure                             1210.13.2.3
LinuxChefClient                      Chef.Bootstrap.WindowsAzure                             1210.13.3.1
LinuxChefClient                      Chef.Bootstrap.WindowsAzure                             1210.13.3.2
LinuxChefClient                      Chef.Bootstrap.WindowsAzure                             1210.13.3.3
LinuxChefClient                      Chef.Bootstrap.WindowsAzure                             1210.13.4.1
CloudLinkSecureVMLinuxAgent          CloudLinkEMC.SecureVM                                   5.5.23389.23430
CloudLinkSecureVMLinuxAgent          CloudLinkEMC.SecureVM                                   6.0.62.0
CloudLinkSecureVMLinuxAgent          CloudLinkEMC.SecureVM                                   6.8.93.0
CloudLinkSecureVMWindowsAgent        CloudLinkEMC.SecureVM                                   5.5.6.23416
CloudLinkSecureVMWindowsAgent        CloudLinkEMC.SecureVM                                   6.0.66.0
CloudLinkSecureVMWindowsAgent        CloudLinkEMC.SecureVM                                   6.5.69.0
